srednekolymsk,"{'coord': {'lon': 153.71, 'lat': 67.46}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': -24.28, 'pressure': 1026.7, 'humidity': 73, 'temp_min': -24.28, 'temp_max': -24.28, 'sea_level': 1038.47, 'grnd_level': 1026.7}, 'wind': {'speed': 3.29, 'deg': 281.501}, 'clouds': {'all': 80}, 'dt': 1548387382, 'sys': {'message': 0.0034, 'country': 'RU', 'sunrise': 1548372410, 'sunset': 1548390526}, 'id': 2121025, 'name': 'Srednekolymsk', 'cod': 200}"
chitipa,"{'coord': {'lon': 33.27, 'lat': -9.7}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 60.05, 'pressure': 875.2, 'humidity': 97, 'temp_min': 60.05, 'temp_max': 60.05, 'sea_level': 1025.09, 'grnd_level': 875.2}, 'wind': {'speed': 2.73, 'deg': 46.5012}, 'clouds': {'all': 92}, 'dt': 1548387382, 'sys': {'message': 0.0031, 'country': 'MW', 'sunrise': 1548387722, 'sunset': 1548432974}, 'id': 235751, 'name': 'Chitipa', 'cod': 200}"
uyemskiy,"{'coord': {'lon': 40.85, 'lat': 64.47}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': -18.41, 'pressure': 1016, 'humidity': 75, 'temp_min': -18.41, 'temp_max': -18.41}, 'visibility': 10000, 'wind': {'speed': 2.24, 'deg': 340}, 'clouds': {'all': 0}, 'dt': 1548385200, 'sys': {'type': 1, 'id': 8922, 'message': 0.0037, 'country': 'RU', 'sunrise': 1548397298, 'sunset': 1548419814}, 'id': 477579, 'name': 'Uyemskiy', 'cod': 200}"
mount darwin,"{'coord': {'lon': 31.58, 'lat': -16.77}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 67.61, 'pressure': 924.72, 'humidity': 93, 'temp_min': 67.61, 'temp_max': 67.61, 'sea_level': 1024.08, 'grnd_level': 924.72}, 'wind': {'speed': 2.95, 'deg': 119.001}, 'clouds': {'all': 88}, 'dt': 1548387383, 'sys': {'message': 0.0032, 'country': 'ZW', 'sunrise': 1548387501, 'sunset': 1548434002}, 'id': 885800, 'name': 'Mount Darwin', 'cod': 200}"
puerto ayora,"{'coord': {'lon': -90.35, 'lat': -0.74}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 75.8, 'pressure': 1017.29, 'humidity': 100, 'temp_min': 75.8, 'temp_max': 75.8, 'sea_level': 1024.41, 'grnd_level': 1017.29}, 'wind': {'speed': 1.72, 'deg': 59.0012}, 'rain': {'3h': 2.865}, 'clouds': {'all': 92}, 'dt': 1548387383, 'sys': {'message': 0.0036, 'country': 'EC', 'sunrise': 1548418149, 'sunset': 1548461900}, 'id': 3652764, 'name': 'Puerto Ayora', 'cod': 200}"
karwar,"{'coord': {'lon': 74.13, 'lat': 14.8}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 67.16, 'pressure': 987.55, 'humidity': 82, 'temp_min': 67.16, 'temp_max': 67.16, 'sea_level': 1027.41, 'grnd_level': 987.55}, 'wind': {'speed': 1.95, 'deg': 319.001}, 'clouds': {'all': 48}, 'dt': 1548387384, 'sys': {'message': 0.003, 'country': 'IN', 'sunrise': 1548379976, 'sunset': 1548421119}, 'id': 1267635, 'name': 'Karwar', 'cod': 200}"
rikitea,"{'coord': {'lon': -134.97, 'lat': -23.12}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 77.51, 'pressure': 1026.21, 'humidity': 100, 'temp_min': 77.51, 'temp_max': 77.51, 'sea_level': 1026.27, 'grnd_level': 1026.21}, 'wind': {'speed': 9.33, 'deg': 85.0012}, 'rain': {'3h': 2.855}, 'clouds': {'all': 64}, 'dt': 1548387384, 'sys': {'message': 0.0033, 'country': 'PF', 'sunrise': 1548426882, 'sunset': 1548474573}, 'id': 4030556, 'name': 'Rikitea', 'cod': 200}"
touros,"{'coord': {'lon': -35.46, 'lat': -5.2}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 80.6, 'pressure': 1012, 'humidity': 78, 'temp_min': 80.6, 'temp_max': 80.6}, 'visibility': 10000, 'wind': {'speed': 6.93, 'deg': 180}, 'clouds': {'all': 40}, 'dt': 1548385200, 'sys': {'type': 1, 'id': 8452, 'message': 0.0034, 'country': 'BR', 'sunrise': 1548404603, 'sunset': 1548449092}, 'id': 3386213, 'name': 'Touros', 'cod': 200}"
nikolskoye,"{'coord': {'lon': 30.79, 'lat': 59.7}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': -2.21, 'pressure': 1024, 'humidity': 84, 'temp_min': -2.21, 'temp_max': -2.21}, 'visibility': 10000, 'wind': {'speed': 2.73, 'deg': 186.501}, 'clouds': {'all': 0}, 'dt': 1548385200, 'sys': {'type': 1, 'id': 8926, 'message': 0.0043, 'country': 'RU', 'sunrise': 1548397488, 'sunset': 1548424448}, 'id': 546105, 'name': 'Nikolskoye', 'cod': 200}"
kapaa,"{'coord': {'lon': -159.32, 'lat': 22.08}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 78.98, 'pressure': 1015, 'humidity': 64, 'temp_min': 78.98, 'temp_max': 78.98}, 'visibility': 16093, 'wind': {'speed': 8.05, 'deg': 60}, 'clouds': {'all': 40}, 'dt': 1548384960, 'sys': {'type': 1, 'id': 7873, 'message': 0.0043, 'country': 'US', 'sunrise': 1548436660, 'sunset': 1548476513}, 'id': 5848280, 'name': 'Kapaa', 'cod': 200}"
oranjemund,"{'coord': {'lon': 16.43, 'lat': -28.55}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 61.63, 'pressure': 1025.56, 'humidity': 92, 'temp_min': 61.63, 'temp_max': 61.63, 'sea_level': 1026.27, 'grnd_level': 1025.56}, 'wind': {'speed': 22.86, 'deg': 156.001}, 'clouds': {'all': 0}, 'dt': 1548387385, 'sys': {'message': 0.0036, 'country': 'ZA', 'sunrise': 1548389952, 'sunset': 1548438814}, 'id': 3354071, 'name': 'Oranjemund', 'cod': 200}"
mataura,"{'coord': {'lon': 168.86, 'lat': -46.19}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 60.05, 'pressure': 1013.89, 'humidity': 68, 'temp_min': 60.05, 'temp_max': 60.05, 'sea_level': 1028.86, 'grnd_level': 1013.89}, 'wind': {'speed': 14.25, 'deg': 261.001}, 'clouds': {'all': 92}, 'dt': 1548387385, 'sys': {'message': 0.0032, 'country': 'NZ', 'sunrise': 1548350788, 'sunset': 1548404774}, 'id': 6201424, 'name': 'Mataura', 'cod': 200}"
punta arenas,"{'coord': {'lon': -70.91, 'lat': -53.16}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 44.6, 'pressure': 991, 'humidity': 75, 'temp_min': 44.6, 'temp_max': 44.6}, 'visibility': 10000, 'wind': {'speed': 32.21, 'deg': 250, 'gust': 19.5}, 'clouds': {'all': 0}, 'dt': 1548385200, 'sys': {'type': 1, 'id': 8487, 'message': 0.0034, 'country': 'CL', 'sunrise': 1548406805, 'sunset': 1548463844}, 'id': 3874787, 'name': 'Punta Arenas', 'cod': 200}"
roma,"{'coord': {'lon': 12.48, 'lat': 41.89}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 42.82, 'pressure': 994, 'humidity': 86, 'temp_min': 41, 'temp_max': 44.6}, 'visibility': 10000, 'wind': {'speed': 9.17, 'deg': 30}, 'clouds': {'all': 0}, 'dt': 1548386400, 'sys': {'type': 1, 'id': 6792, 'message': 0.0034, 'country': 'IT', 'sunrise': 1548397754, 'sunset': 1548432954}, 'id': 6539761, 'name': 'Rome', 'cod': 200}"
